from,to,weight,nb_shared_citations,Source,Target,bucket
76064614,106371053,0.2849014411490949,5,76064614,106371053,5-10
76064614,110114442,0.35856858280031806,6,76064614,110114442,5-10
76064614,114577826,0.4225771273642583,5,76064614,114577826,5-10
78967005,95575922,0.5590169943749475,5,78967005,95575922,5-10
81808817,92346287,0.50709255283711,6,81808817,92346287,5-10
81808817,94396214,0.36689969285267143,7,81808817,94396214,5-10
81808817,101777013,0.3241018617760822,5,81808817,101777013,5-10
88573555,94396214,0.2830692585361489,5,88573555,94396214,5-10
88573555,94940407,0.4166666666666667,5,88573555,94940407,5-10
88573555,95433988,0.5477225575051661,6,88573555,95433988,5-10
88573557,94396214,0.34668762264076824,5,88573557,94396214,5-10
92346287,94396214,0.49613893835683387,8,92346287,94396214,5-10
94396214,94940407,0.3962969619506085,7,94396214,94940407,5-10
94396214,95020640,0.39223227027636803,6,94396214,95020640,5-10
94396214,95575922,0.31008683647302115,5,94396214,95575922,5-10
94396214,101742296,0.5084751798731266,11,94396214,101742296,10-14
94396214,101777013,0.42808634473904467,9,94396214,101777013,5-10
95020640,101742296,0.3928371006591931,5,95020640,101742296,5-10
95575922,101742296,0.44721359549995793,6,95575922,101742296,5-10
95575922,106371053,0.5720775535473553,6,95575922,106371053,5-10
95575922,107448541,0.7171371656006361,6,95575922,107448541,5-10
95575922,110114442,0.5,5,95575922,110114442,5-10
101742296,101777013,0.4573295603800236,8,101742296,101777013,5-10
101742296,106371053,0.4264014327112209,6,101742296,106371053,5-10
101742296,107448541,0.44543540318737396,5,101742296,107448541,5-10
106371053,107448541,0.5698028822981898,5,106371053,107448541,5-10
106371053,110114442,0.6674238124719146,7,106371053,110114442,5-10
106371076,110114442,0.7071067811865475,5,106371076,110114442,5-10
107448541,110114442,0.7171371656006361,6,107448541,110114442,5-10
